,manager,href,href_text,alt,img
0,Todd Bruce Johnson,https://www.bloomberg.com/profile/person/16536902,"Todd Bruce Johnson, Proshares Advisors ...
bloomberg.com","Todd Bruce Johnson, Proshares Advisors LLC: Profile and Biography -  Bloomberg Markets",/Users/jsusser/Desktop/managers/Todd Bruce Johnson/1FYAIX US equity Todd Bruce Johnson.jpg
1,Hunter Hayes,https://intrepidcapitalfunds.com/strategies/mutual-funds/income/fund-facts/,"Income Fund - Intrepid Capital
intrepidcapitalfunds.com",Income Fund - Intrepid Capital,/Users/jsusser/Desktop/managers/Hunter Hayes/1ICMUX US equity Hunter Hayes.jpg
2,Hunter Hayes,https://intrepidcapitalfunds.com/strategies/mutual-funds/income/fund-facts/,"Income Fund - Intrepid Capital
intrepidcapitalfunds.com",Income Fund - Intrepid Capital,/Users/jsusser/Desktop/managers/Hunter Hayes/2ICMUX US equity Hunter Hayes.jpg
3,Hunter Hayes,https://intrepidcapitalfunds.com/strategies/mutual-funds/income/fund-facts/,"Income Fund - Intrepid Capital
intrepidcapitalfunds.com",Income Fund - Intrepid Capital,/Users/jsusser/Desktop/managers/Hunter Hayes/3ICMUX US equity Hunter Hayes.jpg
4,Hunter Hayes,https://www.linkedin.com/in/hunter-hayes-955b3b11,"Hunter Hayes - Engagement Manager - The ...
linkedin.com",Hunter Hayes - Engagement Manager - The Chartis Group | LinkedIn,/Users/jsusser/Desktop/managers/Hunter Hayes/6ICMUX US equity Hunter Hayes.jpg
5,Hunter Hayes,https://intrepidcapitalfunds.com/strategies/mutual-funds/income/fund-facts/,"Income Fund - Intrepid Capital
intrepidcapitalfunds.com",Income Fund - Intrepid Capital,/Users/jsusser/Desktop/managers/Hunter Hayes/9ICMUX US equity Hunter Hayes.jpg
6,Hunter Hayes,https://www.n1m.com/hunterhayesmusicentllc,"HUNTER HAYES MUSIC ENT.LLC - N1M
n1m.com",HUNTER HAYES MUSIC ENT.LLC - N1M,/Users/jsusser/Desktop/managers/Hunter Hayes/10ICMUX US equity Hunter Hayes.jpg
7,Hunter Hayes,https://intrepidcapitalfunds.com/wp-content/uploads/2018/07/2Q18-Intrepid-Capital-Fact-Sheet-Booklet-FINAL.pdf,"QUARTERLY UPDATE THE CONSTANT PURSUIT ...
intrepidcapitalfunds.com",QUARTERLY UPDATE THE CONSTANT PURSUIT OF VALUE,/Users/jsusser/Desktop/managers/Hunter Hayes/11ICMUX US equity Hunter Hayes.jpg
8,Mark F Travis,https://sec.report/Document/0000898531-15-000240/,"Intrepid Capital Management Funds Trust ...
sec.report",Intrepid Capital Management Funds Trust 2015 Semi-Annual Certified  Shareholder Report N-CSRS,/Users/jsusser/Desktop/managers/Mark F Travis/1ICMUX US equity Mark F Travis.jpg
9,Mark F Travis,https://intrepidcapitalfunds.com/wp-content/uploads/2018/07/2Q18-Intrepid-Capital-Fact-Sheet-Booklet-FINAL.pdf,"QUARTERLY UPDATE THE CONSTANT PURSUIT ...
intrepidcapitalfunds.com",QUARTERLY UPDATE THE CONSTANT PURSUIT OF VALUE,/Users/jsusser/Desktop/managers/Mark F Travis/2ICMUX US equity Mark F Travis.jpg
