Ticker,score,3yr,Name_x
AGDAX US equity,0.6666666666666666,9.72997,AB High Income Fund Inc
AHITX US equity,1.0,16.63283,American High-Income Trust
AHYVX US equity,1.0,14.29865,American Century High-Yield Fund
AMHYX US equity,0.3333333333333333,12.18444,Invesco High Yield Fund
ANHAX US equity,0.0,15.344120000000002,Angel Oak High Yield Opportunities Fund
APDFX US equity,1.0,23.3725,Artisan High Income Fund
ATIPX US equity,1.0,13.298279999999998,Aquila Three Peaks High Income Fund
BHYIX US equity,0.5,18.24954,BlackRock High Yield Bond Portfolio
BJBHX US equity,1.0,14.9616,Aberdeen Global High Income Fund
BUFHX US equity,1.0,19.552570000000006,Buffalo High Yield Fund Inc
BXIAX US equity,1.0,9.730181,Barings Global Credit Income Opportunities Fund
CCHYX US equity,0.75,11.75441,Calamos High Income Fund
CYBIX US equity,0.0,15.35166,Calvert High Yield Bond Fund
DDJCX US equity,0.3333333333333333,9.150925,DDJ Capital Opportunistic High Yield Fund
DPHYX US equity,1.0,17.64667,Macquarie High Yield Bond Portfolio
DPLTX US equity,1.0,14.31014,BNY Mellon High Yield Fund
DXHYX US equity,1.0,10.44656,Direxion Monthly High Yield Bull 1.2X Fund
EKHAX US equity,1.0,14.13969,Wells Fargo High Yield Bond Fund
ETHIX US equity,1.0,14.42726,Eaton Vance High Income Opportunities Fund
EVIBX US equity,1.0,14.65849,Eaton Vance Income Fund of Boston
FAGIX US equity,0.5,22.40843,Fidelity Capital & Income Fund
FAHYX US equity,0.5,19.22965,FIDELITY ADVISOR SERIES I - Fidelity Advisor High Income Advantage Fund
FEHAX US equity,1.0,14.71188,First Eagle Funds - First Eagle High Income Fund
FGHNX US equity,1.0,13.36956,Fidelity Global High Income Fund
FHAIX US equity,1.0,17.572570000000002,Franklin High Income Fund/United States
FHIFX US equity,1.0,15.79935,Fidelity Focused High Income Fund
FIFIX US equity,1.0,13.64255,Delaware Fund For Income Fund
FJSIX US equity,1.0,11.86228,Nuveen Credit Income Fund
FYAIX US equity,0.0,11.19338,Access Flex High Yield Fund
GSHAX US equity,0.0,15.83605,Goldman Sachs High Yield Fund
GUHYX US equity,1.0,22.19645,Victory High Yield Fund
HCHYX US equity,0.14285714285714285,23.89083,HC Capital Trust - HC The Corporate Opportunities
HIYYX US equity,0.5,21.41019,AB FlexFee High Yield Portfolio
HWHIX US equity,1.0,9.019018,Hotchkis & Wiley High Yield Fund
HYFAX US equity,0.6,16.6513,Harbor High-Yield Bond Fund
