,name,ticker,manager,link
0,"1    RBC BlueBay Global Bond Fund
Name: Name_x, dtype: object",RBTRX US equity,Mark Dowding,https://www.rbcgam.com/en/ca/profile/mark-dowding/detail/
1,"2    RBC BlueBay Global Bond Fund
Name: Name_x, dtype: object",RBTRX US equity,Polina Kurdyavko,https://www.rbcgam.com/en/ca/profile/polina-kurdyavko/detail
2,"6    RBC BlueBay Global Bond Fund
Name: Name_x, dtype: object",RBTRX US equity,Justin Jewell,https://www.rbcgam.com/en/ca/profile/justin-jewell/detail
3,"7    Aquila Three Peaks High Income Fund
Name: Name_x, dtype: object",ATIPX US equity,Sandy Rufenacht,https://aquilafunds.com/funds/aquila-three-peaks-income-fund/
4,"13    Calamos High Income Fund
Name: Name_x, dtype: object",CCHYX US equity,Jon Vacko,https://www.calamos.com/about/portfolio-management/jon-vacko/
5,"16    Invesco High Yield Fund
Name: Name_x, dtype: object",AMHYX US equity,Joseph Portera,https://www.invesco.com/us/financial-products/mutual-funds/product-detail?audienceType=Ria&fundId=1841
6,"17    Invesco High Yield Fund
Name: Name_x, dtype: object",AMHYX US equity,Niklas Nordenfelt,https://www.fin-news.com/2020/08/11/wells-fargo-ams-u-s-high-yield-co-head-to-exit/
7,"18    MFS Global High Yield Fund
Name: Name_x, dtype: object",MHOBX US equity,Matthew W Ryan,https://www.mfs.com/en-us/individual-investor/product-strategies/mutual-funds/MHOBX-mfs-global-high-yield-fund.html
8,"20    Barings Global Credit Income Opportunities Fund
71                 MassMutual Premier High Yield Fund
Name: Name_x, dtype: object",BXIAX US equity,Sean Feeley,https://www.barings.com/us/guest/funds/mutual-funds/barings-global-credit-income-opportunities-fund
9,"26    Buffalo High Yield Fund Inc
Name: Name_x, dtype: object",BUFHX US equity,Jeff Sitzmann,https://buffalofunds.com/team/jeff-sitzmann/
10,"27    Buffalo High Yield Fund Inc
Name: Name_x, dtype: object",BUFHX US equity,Paul Dlugosch,https://buffalofunds.com/team/paul-dlugosch/
11,"28    Buffalo High Yield Fund Inc
Name: Name_x, dtype: object",BUFHX US equity,"Alexander Hancock ""Alex""",https://buffalofunds.com/team/alex-hancock/
12,"29    Buffalo High Yield Fund Inc
Name: Name_x, dtype: object",BUFHX US equity,Jeff Deardorff,https://buffalofunds.com/team/jeff-deardorff/
13,"31    Pioneer Global High Yield Fund
74           Pioneer High Yield Fund
Name: Name_x, dtype: object",PGHYX US equity,Matt Shulkin,https://www.amundipioneer.com/institutional/ezjscore/call/ezjscamundibuzz::sfForwardFront::paramsList=service=ProxyGedApi&routeId=_dl_N2FjMTY5MWZiYzAzOGRiOGI4NDEzYzQyZjk0NmUyNWM_download
14,"32               Pioneer Global High Yield Fund
72                      Pioneer High Yield Fund
147    Nationwide Amundi Global High Yield Fund
Name: Name_x, dtype: object",PGHYX US equity,Ken Monaghan,https://www.amundipioneer.com/institutional/ezjscore/call/ezjscamundibuzz::sfForwardFront::paramsList=service=ProxyGedApi&routeId=_dl_MTYxYmI0ZGMzMjk1ODljNTY5YTdkNTNiMzFkNjg0Njk_download
15,"34             AB High Income Fund Inc
218    AB FlexFee High Yield Portfolio
Name: Name_x, dtype: object",AGDAX US equity,Gershon M Distenfeld,https://www.alliancebernstein.com/biographies/01_biographies/distenfeld_gershon.bio.htm?rsb=no
16,"36    AB High Income Fund Inc
Name: Name_x, dtype: object",AGDAX US equity,Matt Sheridan,https://blog.alliancebernstein.com/Biographies/01_Biographies/Sheridan_Matthew.bio.htm?rsb=no
17,"37    AB High Income Fund Inc
Name: Name_x, dtype: object",AGDAX US equity,Marco G Santamaria,https://www.abfunds.com.hk/biographies/01_biographies/santamaria_marco.bio.htm
18,"43    Hotchkis & Wiley High Yield Fund
Name: Name_x, dtype: object",HWHIX US equity,Ray Kennedy,https://www.hwcm.com/our-team/ray-kennedy-cfa/
19,"44    Hotchkis & Wiley High Yield Fund
Name: Name_x, dtype: object",HWHIX US equity,Mark Hudoff,https://www.hwcm.com/our-team/mark-hudoff/
20,"45    Hotchkis & Wiley High Yield Fund
Name: Name_x, dtype: object",HWHIX US equity,Patrick Meegan,https://www.hwcm.com/our-team/patrick-meegan-cpa/
21,"46    Hotchkis & Wiley High Yield Fund
Name: Name_x, dtype: object",HWHIX US equity,Richard Mak,https://www.hwcm.com/our-team/richard-mak-cfa/
22,"47    Eaton Vance Income Fund of Boston
Name: Name_x, dtype: object",EVIBX US equity,Kelley G Baccei,https://www.prnewswire.com/news-releases/eaton-vance-adds-kelley-g-baccei-and-jeffrey-d-mueller-to-high-yield-bond-fund-portfolio-management-teams-300871105.html
23,"51    Wells Fargo High Yield Bond Fund
Name: Name_x, dtype: object",EKHAX US equity,Margaret Patel,https://www.wellsfargoassetmanagement.com/investments/mutual-funds/fund-profile/overview.html?accountingId=4203&shareClass=A
24,"53                              JPMorgan High Yield Fund
161    SEI Institutional Managed Trust - High Yield B...
206    SEI Institutional Investment Trust - High Yiel...
Name: Name_x, dtype: object",OHYFX US equity,Rob Cook,https://am.jpmorgan.com/us/en/asset-management/adv/products/jpmorgan-high-yield-fund-i-4812c0803
25,"54                              JPMorgan High Yield Fund
116                           Guggenheim High Yield Fund
162    SEI Institutional Managed Trust - High Yield B...
209    SEI Institutional Investment Trust - High Yiel...
Name: Name_x, dtype: object",OHYFX US equity,Thomas Hauser,https://www.guggenheiminvestments.com/mutual-funds/fund/shyix-high-yield
26,"57    Calvert High Yield Bond Fund
Name: Name_x, dtype: object",CYBIX US equity,Stephen Concannon,https://www.calvert.com/Calvert-High-Yield-Bond-Fund-CYBIX.php
