,name,ticker,manager
0,RBC BlueBay Global Bond Fund,RBTRX US equity,Nick Shearn
1,RBC BlueBay Global Bond Fund,RBTRX US equity,Thomas Kreuzer
2,BMO Strategic Income Fund,MRGIX US equity,Scott M Kimball
3,BMO Strategic Income Fund,MRGIX US equity,Frank J Reda
4,Calamos High Income Fund,CCHYX US equity,
5,Calamos High Income Fund,CCHYX US equity,Eli Pars
6,Dunham High Yield Bond Fund,DCHYX US equity,
7,AllianzGI High Yield Bond Fund,AYBVX US equity,
8,Thrivent High Yield Fund,LBHYX US equity,
9,Aberdeen Global High Income Fund,BJBHX US equity,Erlend Lochen
10,Aberdeen Global High Income Fund,BJBHX US equity,Arthur Milson
11,Aberdeen Global High Income Fund,BJBHX US equity,"Matthew Kence ""Matt"""
12,Invesco High Yield Bond Factor Fund,OGYAX US equity,
13,Calvert High Yield Bond Fund,CYBIX US equity,Michael W Weilheimer
14,Calvert High Yield Bond Fund,CYBIX US equity,Rafe Leeman
15,Morgan Stanley Pathway Funds - High Yield Fund,THYUX US equity,Michael C Buchanan
16,Morgan Stanley Pathway Funds - High Yield Fund,THYUX US equity,"S Kenneth Leech ""Ken"""
17,Morgan Stanley Pathway Funds - High Yield Fund,THYUX US equity,Martin A Smith
18,Voya High Yield Bond Fund,IHYAX US equity,
19,Transamerica High Yield Bond,IHIYX US equity,
20,Transamerica High Yield Bond,IHIYX US equity,"James K Schaeffer Jr ""Jim"""
21,Transamerica High Yield Bond,IHIYX US equity,Kevin Bakker
22,Janus Henderson High-Yield Fund,JHYAX US equity,
23,Stone Harbor High Yield Bond Fund,SHHYX US equity,Cathy Nolan
24,Timothy Plan High Yield Bond Fund,TPHAX US equity,
25,Barings US High Yield Fund,BXHAX US equity,
26,Fidelity Global High Income Fund,FGHNX US equity,
27,Vanguard High-Yield Corporate Fund,VWEHX US equity,Michael L Hong
28,Loomis Sayles Institutional High Income Fund,LSHIX US equity,
29,Segall Bryant & Hamill Quality High Yield Fund,WTLTX US equity,
30,Virtus Newfleet High Yield Fund,PHCHX US equity,Kyle A Jennings
31,Delaware High-Yield Opportunities Fund,DHOAX US equity,
32,USAA High Income Fund,USHYX US equity,Julianne Bass
33,Guggenheim High Yield Fund,SHYIX US equity,
34,Principal Funds Income High Yield Fund,PHYTX US equity,Josh Rank
35,Payden High Income Fund,PYHRX US equity,"James P Sarni ""Jim"""
36,Payden High Income Fund,PYHRX US equity,Alfred Giles
37,Federated Hermes Opportunistic High Yield Bond Fund,FHYTX US equity,
38,Federated Hermes High Income B,FHIIX US equity,Mark E Durbiano
39,Western Asset Global High Yield Bond Fund,SAHYX US equity,Ian R Edmonds
40,Western Asset Global High Yield Bond Fund,SAHYX US equity,"S Kenneth Leech ""Ken"""
41,Western Asset Global High Yield Bond Fund,SAHYX US equity,Paul Shuttleworth
42,Nationwide Amundi Global High Yield Fund,NWXIX US equity,
43,Ivy High Income Fund,WHIAX US equity,
44,Pacific Funds Strategic Income,PLSRX US equity,Michael Marzouk
45,Angel Oak High Yield Opportunities Fund,ANHAX US equity,Nichole Hammond
46,SEI Institutional Managed Trust - High Yield Bond Fund,SHYAX US equity,Thomas Hauser
47,SEI Institutional Managed Trust - High Yield Bond Fund,SHYAX US equity,Paul A Matlack
48,John Hancock Funds II - U.S. High Yield Bond Fund,JIHLX US equity,
49,Integrity High Income Fund,IHFAX US equity,
