Name,Ticker,Custom Return,1M Return,3M Return,YTD Return,1Y Return,3Y Return,5Y Return,Last Close
Rydex Inverse High Yield Strategy Fund,RYIHX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
RiverPark Short Term High Yield Fund,RPHIX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
CMG Tactical Bond Fund,CHYAX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Delaware Floating Rate II Fund,FRFEX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Northeast Investors Trust,NTHEX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Putnam Mortgage Opportunities Fund,PMOTX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Stone Ridge High Yield Reinsurance Risk Premium Fund,SHRIX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Shenkman Captial Short Duration High Income Fund,SCFAX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Wells Fargo Short-Term High Yield Bond Fund,SSTHX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
RBC BlueBay Global Bond Fund,RBTRX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Chartwell Short Duration High Yield Fund,CWFIX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Aquila Three Peaks High Income Fund,ATIPX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Eaton Vance Short Duration High Income Fund,ESHAX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
First Trust Short Duration High Income Fund,FDHAX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Access Flex High Yield Fund,FYAIX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Fidelity Advisor Short Duration High Income Fund,FSBHX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Intrepid Income Fund,ICMUX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
AB Limited Duration High Income Portfolio,ALHAX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
City National Rochdale Fixed Income Opportunities Fund,RIMOX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
AllianzGI Short Duration High Income Fund,ASHAX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
MainStay MacKay Short Duration High Yield Fund,MDHAX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
BMO Strategic Income Fund,MRGIX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
PGIM Short Duration High Yield,HYSAX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Calamos High Income Fund,CCHYX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Touchstone High Yield Fund,THYCX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Invesco High Yield Fund,AMHYX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Lazard US Corporate Income Portfolio,LZHYX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
MFS Global High Yield Fund,MHOBX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Janus Henderson Developed World Bond Fund,HFAAX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Barings Global Credit Income Opportunities Fund,BXIAX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Dunham High Yield Bond Fund,DCHYX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Delaware Fund For Income Fund,FIFIX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
AllianzGI High Yield Bond Fund,AYBVX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Buffalo High Yield Fund Inc,BUFHX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Western Asset Short Duration High Income Fund,SHIAX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Thrivent High Yield Fund,LBHYX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
HSBC Strategic Income Fund,HBIAX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Pioneer Global High Yield Fund,PGHYX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
AB High Income Fund Inc,AGDAX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
MainStay MacKay High Yield Corporate Bond Fund,MKHCX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Aberdeen Global High Income Fund,BJBHX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Hotchkis & Wiley High Yield Fund,HWHIX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Eaton Vance Income Fund of Boston,EVIBX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Eaton Vance High Income Opportunities Fund,ETHIX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Wells Fargo High Yield Bond Fund,EKHAX US,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
