,Name,Ticker,AUM,3
0,Rydex Inverse High Yield Strategy Fund,RYIHX US equity,0.954926,Michael Paul Byrum
1,Rydex Inverse High Yield Strategy Fund,RYIHX US equity,0.954926,Jim King
2,RiverPark Short Term High Yield Fund,RPHIX US equity,837.6577,David K Sherman
3,CMG Tactical Bond Fund,CHYAX US equity,27.228679999999997,"Stephen Blumenthal ""Steve"""
4,Delaware Floating Rate II Fund,FRFEX US equity,54.053000000000004,Adam H Brown
5,Delaware Floating Rate II Fund,FRFEX US equity,54.053000000000004,John P McCarthy
6,Northeast Investors Trust,NTHEX US equity,357.9874,Ernest E Monrad
7,Northeast Investors Trust,NTHEX US equity,357.9874,Bruce H Monrad
8,Putnam Mortgage Opportunities Fund,PMOTX US equity,172.8942,Michael V Salm
9,Putnam Mortgage Opportunities Fund,PMOTX US equity,172.8942,Brett S Kozlowski
10,Putnam Mortgage Opportunities Fund,PMOTX US equity,172.8942,Jatin Misra
11,Stone Ridge High Yield Reinsurance Risk Premium Fund,SHRIX US equity,1076.41,Ross L Stevens
12,Stone Ridge High Yield Reinsurance Risk Premium Fund,SHRIX US equity,1076.41,Robert Gutmann
13,Stone Ridge High Yield Reinsurance Risk Premium Fund,SHRIX US equity,1076.41,Yan Zhao
14,Stone Ridge High Yield Reinsurance Risk Premium Fund,SHRIX US equity,1076.41,Alexander Nyren
15,Stone Ridge High Yield Reinsurance Risk Premium Fund,SHRIX US equity,1076.41,Ben Robbins
16,Shenkman Captial Short Duration High Income Fund,SCFAX US equity,934.7109,Mark R Shenkman
17,Shenkman Captial Short Duration High Income Fund,SCFAX US equity,934.7109,Nicholas Sarchese
18,Shenkman Captial Short Duration High Income Fund,SCFAX US equity,934.7109,Neil Wechsler
19,Shenkman Captial Short Duration High Income Fund,SCFAX US equity,934.7109,Justin W Slatky
20,Shenkman Captial Short Duration High Income Fund,SCFAX US equity,934.7109,Jordan Barrow
21,Wells Fargo Short-Term High Yield Bond Fund,SSTHX US equity,796.7177,Niklas Nordenfelt
22,Wells Fargo Short-Term High Yield Bond Fund,SSTHX US equity,796.7177,Mike Schueller
23,RBC BlueBay Global Bond Fund,RBTRX US equity,28.82,Mark Dowding
24,RBC BlueBay Global Bond Fund,RBTRX US equity,28.82,Polina Kurdyavko
25,RBC BlueBay Global Bond Fund,RBTRX US equity,28.82,"Michael Reed ""Mike"""
26,RBC BlueBay Global Bond Fund,RBTRX US equity,28.82,Nick Shearn
27,RBC BlueBay Global Bond Fund,RBTRX US equity,28.82,Thomas Kreuzer
28,RBC BlueBay Global Bond Fund,RBTRX US equity,28.82,Justin Jewell
29,Chartwell Short Duration High Yield Fund,CWFIX US equity,163.5687,Christine F Williams
30,Chartwell Short Duration High Yield Fund,CWFIX US equity,163.5687,Andrew S Toburen
31,Chartwell Short Duration High Yield Fund,CWFIX US equity,163.5687,John M Hopkins
32,Aquila Three Peaks High Income Fund,ATIPX US equity,181.7479,Sandy Rufenacht
33,Aquila Three Peaks High Income Fund,ATIPX US equity,181.7479,David M Battilega
34,Eaton Vance Short Duration High Income Fund,ESHAX US equity,48.58671,
35,First Trust Short Duration High Income Fund,FDHAX US equity,154.9753,Bill Housey
36,First Trust Short Duration High Income Fund,FDHAX US equity,154.9753,Scott Fries
37,First Trust Short Duration High Income Fund,FDHAX US equity,154.9753,Peter Fasone
38,Access Flex High Yield Fund,FYAIX US equity,22.5719,Jeff Ploshnick
39,Access Flex High Yield Fund,FYAIX US equity,22.5719,Todd Bruce Johnson
40,Fidelity Advisor Short Duration High Income Fund,FSBHX US equity,96.2063,Matthew J Conti
41,Fidelity Advisor Short Duration High Income Fund,FSBHX US equity,96.2063,Michael R Plage
42,Intrepid Income Fund,ICMUX US equity,117.6804,Hunter Hayes
43,Intrepid Income Fund,ICMUX US equity,117.6804,Mark F Travis
44,AB Limited Duration High Income Portfolio,ALHAX US equity,307.2402,Gershon M Distenfeld
45,AB Limited Duration High Income Portfolio,ALHAX US equity,307.2402,Sherif M Hamid
46,AB Limited Duration High Income Portfolio,ALHAX US equity,307.2402,Ivan Rudolph-Shabinsky
47,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,3995.123,Garrett R D'Alessandro
48,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,3995.123,Mark E Durbiano
49,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,3995.123,George Goudelias
50,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,3995.123,Simon Milledge
51,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,3995.123,Stefan Paul Pinter
52,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,3995.123,Maxim Matveev
53,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,3995.123,Theodore Stohner
54,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,3995.123,Bruce D Simon
55,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,3995.123,Graham Rainbow
56,AllianzGI Short Duration High Income Fund,ASHAX US equity,796.4427,Douglas G Forsyth
57,AllianzGI Short Duration High Income Fund,ASHAX US equity,796.4427,Steven Gish
58,AllianzGI Short Duration High Income Fund,ASHAX US equity,796.4427,James Dudnick
59,MainStay MacKay Short Duration High Yield Fund,MDHAX US equity,1474.3,Andrew Susser
60,BMO Strategic Income Fund,MRGIX US equity,76.31684,Scott M Kimball
61,BMO Strategic Income Fund,MRGIX US equity,76.31684,Frank J Reda
62,PGIM Short Duration High Yield,HYSAX US equity,3537.091,Ryan Kelly
63,PGIM Short Duration High Yield,HYSAX US equity,3537.091,Robert Spano
64,PGIM Short Duration High Yield,HYSAX US equity,3537.091,Daniel Thorogood
65,PGIM Short Duration High Yield,HYSAX US equity,3537.091,Robert Cignarella
66,PGIM Short Duration High Yield,HYSAX US equity,3537.091,Brian Clapp
67,Calamos High Income Fund,CCHYX US equity,39.80158,
68,Calamos High Income Fund,CCHYX US equity,39.80158,Jon Vacko
69,Calamos High Income Fund,CCHYX US equity,39.80158,Jeremy Hughes
70,Calamos High Income Fund,CCHYX US equity,39.80158,Eli Pars
71,Calamos High Income Fund,CCHYX US equity,39.80158,Nicholas Niziolek
72,Calamos High Income Fund,CCHYX US equity,39.80158,Chuck Carmody
73,Calamos High Income Fund,CCHYX US equity,39.80158,Matt Freund
74,Touchstone High Yield Fund,THYCX US equity,192.188,Brendan M White
75,Invesco High Yield Fund,AMHYX US equity,939.2943,Joseph Portera
76,Invesco High Yield Fund,AMHYX US equity,939.2943,Niklas Nordenfelt
77,Invesco High Yield Fund,AMHYX US equity,939.2943,Scott Roberts
78,Lazard US Corporate Income Portfolio,LZHYX US equity,301.2891,Jeffrey Clarke
79,MFS Global High Yield Fund,MHOBX US equity,302.0288,Matthew W Ryan
80,MFS Global High Yield Fund,MHOBX US equity,302.0288,Bill Adams
81,MFS Global High Yield Fund,MHOBX US equity,302.0288,Mike Skatrud
82,MFS Global High Yield Fund,MHOBX US equity,302.0288,David Cole
83,Janus Henderson Developed World Bond Fund,HFAAX US equity,2043.683,Jenna Barnard
