Name,Ticker,AUM
Rydex Inverse High Yield Strategy Fund,RYIHX US equity,0.954926
RiverPark Short Term High Yield Fund,RPHIX US equity,837.6577
CMG Tactical Bond Fund,CHYAX US equity,27.22868
Delaware Floating Rate II Fund,FRFEX US equity,54.053
Northeast Investors Trust,NTHEX US equity,357.9874
Putnam Mortgage Opportunities Fund,PMOTX US equity,172.8942
Stone Ridge High Yield Reinsurance Risk Premium Fund,SHRIX US equity,1076.41
Shenkman Captial Short Duration High Income Fund,SCFAX US equity,934.7109
Wells Fargo Short-Term High Yield Bond Fund,SSTHX US equity,796.7177
RBC BlueBay Global Bond Fund,RBTRX US equity,28.82
Chartwell Short Duration High Yield Fund,CWFIX US equity,163.5687
Aquila Three Peaks High Income Fund,ATIPX US equity,181.7479
Eaton Vance Short Duration High Income Fund,ESHAX US equity,48.58671
First Trust Short Duration High Income Fund,FDHAX US equity,154.9753
Access Flex High Yield Fund,FYAIX US equity,22.5719
Fidelity Advisor Short Duration High Income Fund,FSBHX US equity,96.2063
Intrepid Income Fund,ICMUX US equity,117.6804
AB Limited Duration High Income Portfolio,ALHAX US equity,307.2402
City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,3995.123
AllianzGI Short Duration High Income Fund,ASHAX US equity,796.4427
MainStay MacKay Short Duration High Yield Fund,MDHAX US equity,1474.3
BMO Strategic Income Fund,MRGIX US equity,76.31684
PGIM Short Duration High Yield,HYSAX US equity,3537.091
Calamos High Income Fund,CCHYX US equity,39.80158
Touchstone High Yield Fund,THYCX US equity,192.188
Invesco High Yield Fund,AMHYX US equity,939.2943
Lazard US Corporate Income Portfolio,LZHYX US equity,301.2891
MFS Global High Yield Fund,MHOBX US equity,302.0288
Janus Henderson Developed World Bond Fund,HFAAX US equity,2043.683
Barings Global Credit Income Opportunities Fund,BXIAX US equity,166.0414
Dunham High Yield Bond Fund,DCHYX US equity,108.4965
Delaware Fund For Income Fund,FIFIX US equity,426.02
AllianzGI High Yield Bond Fund,AYBVX US equity,83.18471
Buffalo High Yield Fund Inc,BUFHX US equity,265.8959
Western Asset Short Duration High Income Fund,SHIAX US equity,347.1602
Thrivent High Yield Fund,LBHYX US equity,846.8183
HSBC Strategic Income Fund,HBIAX US equity,35.18
Pioneer Global High Yield Fund,PGHYX US equity,233.1446
AB High Income Fund Inc,AGDAX US equity,5438.493
MainStay MacKay High Yield Corporate Bond Fund,MKHCX US equity,12571.19
Aberdeen Global High Income Fund,BJBHX US equity,162.4954
Hotchkis & Wiley High Yield Fund,HWHIX US equity,1264.669
Eaton Vance Income Fund of Boston,EVIBX US equity,6618.225
Eaton Vance High Income Opportunities Fund,ETHIX US equity,818.7711
Wells Fargo High Yield Bond Fund,EKHAX US equity,393.7466
Invesco High Yield Bond Factor Fund,OGYAX US equity,34.71556
JPMorgan High Yield Fund,OHYFX US equity,9774.367
Calvert High Yield Bond Fund,CYBIX US equity,349.662
Fidelity Focused High Income Fund,FHIFX US equity,471.2703
Morgan Stanley Pathway Funds - High Yield Fund,THYUX US equity,289.1576
American Century High-Yield Fund,AHYVX US equity,137.0329
DDJ Capital Opportunistic High Yield Fund,DDJCX US equity,182.4601
Principal High Income Fund,PYHIX US equity,3194.265
Columbia High Yield Bond Fund,INEAX US equity,1733.376
BNY Mellon High Yield Fund,DPLTX US equity,1108.534
MassMutual Premier High Yield Fund,MPHAX US equity,617.4225
HSBC High Yield Bond Fund,HBYAX US equity,36.2
Pioneer High Yield Fund,TAHYX US equity,652.6412
Voya High Yield Bond Fund,IHYAX US equity,914.5876
Goldman Sachs High Yield Fund,GSHAX US equity,2210.885
Transamerica High Yield Bond,IHIYX US equity,2732.604
MFS High Income Fund,MHITX US equity,1949.31
Janus Henderson High-Yield Fund,JHYAX US equity,1145.546
Stone Harbor High Yield Bond Fund,SHHYX US equity,94.33562
Timothy Plan High Yield Bond Fund,TPHAX US equity,88.05551
PIMCO High Yield Fund,PHDAX US equity,11672.36
Harbor High-Yield Bond Fund,HYFAX US equity,445.3646
First Eagle Funds - First Eagle High Income Fund,FEHAX US equity,248.2241
Barings US High Yield Fund,BXHAX US equity,50.62504
Penn Capital Multi-Credit High Income Fund,PHYNX US equity,19.35538
