Name,Ticker,3yr,5yr
Rydex Inverse High Yield Strategy Fund,RYIHX US equity,-15.4448,-28.5726
RiverPark Short Term High Yield Fund,RPHIX US equity,7.244566,13.71795
CMG Tactical Bond Fund,CHYAX US equity,8.198228,15.13883
Delaware Floating Rate II Fund,FRFEX US equity,5.853818,15.78362
Northeast Investors Trust,NTHEX US equity,-6.63725,15.81626
Putnam Mortgage Opportunities Fund,PMOTX US equity,6.294011,18.04043
Stone Ridge High Yield Reinsurance Risk Premium Fund,SHRIX US equity,14.78732,18.55773
Shenkman Captial Short Duration High Income Fund,SCFAX US equity,10.748,19.79018
Wells Fargo Short-Term High Yield Bond Fund,SSTHX US equity,12.77258,20.32911
RBC BlueBay Global Bond Fund,RBTRX US equity,9.933056,23.86636
Chartwell Short Duration High Yield Fund,CWFIX US equity,12.2695,24.91843
Aquila Three Peaks High Income Fund,ATIPX US equity,13.29828,25.00434
Eaton Vance Short Duration High Income Fund,ESHAX US equity,10.47593,25.91939
First Trust Short Duration High Income Fund,FDHAX US equity,11.55258,26.51007
Access Flex High Yield Fund,FYAIX US equity,11.19338,27.4169
Fidelity Advisor Short Duration High Income Fund,FSBHX US equity,10.85067,27.59768
Intrepid Income Fund,ICMUX US equity,14.25593,28.51373
AB Limited Duration High Income Portfolio,ALHAX US equity,13.41728,28.10507
City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,8.741852,28.37574
AllianzGI Short Duration High Income Fund,ASHAX US equity,12.44935,28.72344
MainStay MacKay Short Duration High Yield Fund,MDHAX US equity,11.78855,29.13683
BMO Strategic Income Fund,MRGIX US equity,20.3483,30.4693
PGIM Short Duration High Yield,HYSAX US equity,16.46458,30.54646
Calamos High Income Fund,CCHYX US equity,11.75441,30.51134
Touchstone High Yield Fund,THYCX US equity,11.96391,31.27391
Invesco High Yield Fund,AMHYX US equity,12.18444,32.71176
Lazard US Corporate Income Portfolio,LZHYX US equity,15.05499,33.04895
MFS Global High Yield Fund,MHOBX US equity,12.01159,33.40593
Janus Henderson Developed World Bond Fund,HFAAX US equity,19.65014,34.02441
Barings Global Credit Income Opportunities Fund,BXIAX US equity,9.730181,33.94042
Dunham High Yield Bond Fund,DCHYX US equity,14.89163,33.90647
Delaware Fund For Income Fund,FIFIX US equity,13.64255,34.1218
AllianzGI High Yield Bond Fund,AYBVX US equity,11.43738,34.18201
Buffalo High Yield Fund Inc,BUFHX US equity,19.55257,35.13401
Western Asset Short Duration High Income Fund,SHIAX US equity,13.53316,34.85081
Thrivent High Yield Fund,LBHYX US equity,12.26558,35.03621
HSBC Strategic Income Fund,HBIAX US equity,17.97463,35.56979
Pioneer Global High Yield Fund,PGHYX US equity,9.509835,36.3587
AB High Income Fund Inc,AGDAX US equity,9.72997,36.34483
MainStay MacKay High Yield Corporate Bond Fund,MKHCX US equity,12.69721,36.46466
Aberdeen Global High Income Fund,BJBHX US equity,14.9616,36.84384
Hotchkis & Wiley High Yield Fund,HWHIX US equity,9.019018,36.84897
Eaton Vance Income Fund of Boston,EVIBX US equity,14.65849,36.91164
